,RATE A,RATE B,RATE C,Total
06/02/2018 02.45,,91.87,,91.87
06/02/2018 03.00,,88.22,,88.22
06/02/2018 03.15,,84.22,,84.22
06/02/2018 03.30,,85.56,,85.56
06/02/2018 03.45,,81.95,,81.95
06/02/2018 04.00,,80.83,,80.83
06/02/2018 04.15,,78.64,,78.64
06/02/2018 04.30,,77.41,,77.41
06/02/2018 04.45,,76.85,,76.85
06/02/2018 05.00,,76.22,,76.22
06/02/2018 05.15,,76.61,,76.61
06/02/2018 05.30,,76.04,,76.04
06/02/2018 05.45,,74.61,,74.61
06/02/2018 06.00,,73.79,,73.79
06/02/2018 06.15,,75.61,,75.61
06/02/2018 06.30,,73.93,,73.93
06/02/2018 06.45,,74.91,,74.91
06/02/2018 07.00,,81.66,,81.66
06/02/2018 07.15,,83.56,,83.56
06/02/2018 07.30,,88.62,,88.62
06/02/2018 07.45,,91.28,,91.28
06/02/2018 08.00,,83.8,,83.8
06/02/2018 08.15,,84.27,,84.27
06/02/2018 08.30,,81.69,,81.69
06/02/2018 08.45,,80.95,,80.95
06/02/2018 09.00,,76.77,,76.77
06/02/2018 09.15,63.61,,,63.61
06/02/2018 09.30,52.14,,,52.14
06/02/2018 09.45,38.01,,,38.01
06/02/2018 10.00,42.63,,,42.63
06/02/2018 10.15,43.8,,,43.8
06/02/2018 10.30,39.09,,,39.09
06/02/2018 10.45,33.37,,,33.37
06/02/2018 11.00,30.27,,,30.27
06/02/2018 11.15,28.98,,,28.98
06/02/2018 11.30,31.89,,,31.89
06/02/2018 11.45,33.5,,,33.5
06/02/2018 12.00,33.3,,,33.3
06/02/2018 12.15,33.03,,,33.03
06/02/2018 12.30,33.98,,,33.98
06/02/2018 12.45,33.59,,,33.59
06/02/2018 13.00,34.34,,,34.34
06/02/2018 13.15,36.3,,,36.3
06/02/2018 13.30,36.32,,,36.32
06/02/2018 13.45,37.71,,,37.71
06/02/2018 14.00,46.5,,,46.5
06/02/2018 14.15,47.06,,,47.06
06/02/2018 14.30,47.08,,,47.08
06/02/2018 14.45,47.76,,,47.76
06/02/2018 15.00,48.55,,,48.55
06/02/2018 15.15,48.51,,,48.51
06/02/2018 15.30,51.27,,,51.27
06/02/2018 15.45,52.88,,,52.88
06/02/2018 16.00,51.5,,,51.5
06/02/2018 16.15,50.09,,,50.09
06/02/2018 16.30,54.24,,,54.24
06/02/2018 16.45,52.77,,,52.77
06/02/2018 17.00,52.13,,,52.13
06/02/2018 17.15,54.8,,,54.8
06/02/2018 17.30,56.29,,,56.29
06/02/2018 17.45,56.56,,,56.56
06/02/2018 18.00,56.21,,,56.21
06/02/2018 18.15,61.48,,,61.48
06/02/2018 18.30,64.29,,,64.29
06/02/2018 18.45,67.03,,,67.03
06/02/2018 19.00,71.79,,,71.79
06/02/2018 19.15,70.67,,,70.67
06/02/2018 19.30,71.25,,,71.25
06/02/2018 19.45,73.45,,,73.45
06/02/2018 20.00,75.35,,,75.35
06/02/2018 20.15,75.95,,,75.95
06/02/2018 20.30,77.35,,,77.35
06/02/2018 20.45,85.17,,,85.17
06/02/2018 21.00,92.9,,,92.9
06/02/2018 21.15,92.32,,,92.32
06/02/2018 21.30,95.12,,,95.12
06/02/2018 21.45,98.32,,,98.32
06/02/2018 22.00,102.51,,,102.51
06/02/2018 22.15,,107.15,,107.15
06/02/2018 22.30,,103.33,,103.33
06/02/2018 22.45,,100.09,,100.09
06/02/2018 23.00,,103.24,,103.24
06/02/2018 23.15,,111.59,,111.59
06/02/2018 23.30,,110.64,,110.64
06/02/2018 23.45,,110.69,,110.69
06/02/2018 24.00,,113.41,,113.41
07/02/2018 00.15,,111.51,,111.51
07/02/2018 00.30,,112.86,,112.86
07/02/2018 00.45,,107.94,,107.94
07/02/2018 01.00,,107.99,,107.99
07/02/2018 01.15,,106.62,,106.62
07/02/2018 01.30,,98.54,,98.54
07/02/2018 01.45,,89.91,,89.91
07/02/2018 02.00,,89.62,,89.62
07/02/2018 02.15,,87.96,,87.96
07/02/2018 02.30,,85.41,,85.41
07/02/2018 02.45,,81.66,,81.66
07/02/2018 03.00,,78.56,,78.56
07/02/2018 03.15,,76.25,,76.25
07/02/2018 03.30,,75.09,,75.09
07/02/2018 03.45,,73.66,,73.66
07/02/2018 04.00,,72.08,,72.08
07/02/2018 04.15,,67.98,,67.98
07/02/2018 04.30,,68.66,,68.66
07/02/2018 04.45,,64.61,,64.61
07/02/2018 05.00,,65.09,,65.09
07/02/2018 05.15,,69.48,,69.48
07/02/2018 05.30,,66.88,,66.88
07/02/2018 05.45,,67.29,,67.29
07/02/2018 06.00,,68.48,,68.48
07/02/2018 06.15,,67.27,,67.27
07/02/2018 06.30,,69.35,,69.35
07/02/2018 06.45,,77.53,,77.53
07/02/2018 07.00,,78.25,,78.25
07/02/2018 07.15,,77.11,,77.11
07/02/2018 07.30,,83.19,,83.19
07/02/2018 07.45,,81.77,,81.77
07/02/2018 08.00,,81.99,,81.99
07/02/2018 08.15,,75.8,,75.8
07/02/2018 08.30,,87.61,,87.61
07/02/2018 08.45,,91.7,,91.7
07/02/2018 09.00,,88.4,,88.4
07/02/2018 09.15,79.59,,,79.59
07/02/2018 09.30,68.83,,,68.83
07/02/2018 09.45,65.08,,,65.08
07/02/2018 10.00,57.63,,,57.63
07/02/2018 10.15,55.59,,,55.59
07/02/2018 10.30,53.03,,,53.03
07/02/2018 10.45,57.35,,,57.35
07/02/2018 11.00,56.25,,,56.25
07/02/2018 11.15,52.16,,,52.16
07/02/2018 11.30,52.03,,,52.03
07/02/2018 11.45,51.88,,,51.88
07/02/2018 12.00,53.22,,,53.22
07/02/2018 12.15,49.3,,,49.3
07/02/2018 12.30,47.22,,,47.22
07/02/2018 12.45,48.64,,,48.64
07/02/2018 13.00,48.55,,,48.55
07/02/2018 13.15,52.74,,,52.74
07/02/2018 13.30,49.74,,,49.74
07/02/2018 13.45,46.42,,,46.42
07/02/2018 14.00,44.11,,,44.11
07/02/2018 14.15,42.09,,,42.09
07/02/2018 14.30,45.17,,,45.17
07/02/2018 14.45,44.35,,,44.35
07/02/2018 15.00,43.76,,,43.76
07/02/2018 15.15,44.8,,,44.8
07/02/2018 15.30,46.22,,,46.22
07/02/2018 15.45,46.96,,,46.96
07/02/2018 16.00,52.71,,,52.71
07/02/2018 16.15,50.96,,,50.96
07/02/2018 16.30,53.58,,,53.58
07/02/2018 16.45,57.03,,,57.03
07/02/2018 17.00,60,,,60
07/02/2018 17.15,60.63,,,60.63
07/02/2018 17.30,61.24,,,61.24
07/02/2018 17.45,64.71,,,64.71
