,RATE A,RATE B,RATE C,Total
04/11/2018 22.45,,,122.73,122.73
04/11/2018 23.00,,,128.27,128.27
04/11/2018 23.15,,,132.6,132.6
04/11/2018 23.30,,,135.86,135.86
04/11/2018 23.45,,,140.43,140.43
04/11/2018 24.00,,,144.35,144.35
05/11/2018 00.15,,146.89,,146.89
05/11/2018 00.30,,152.49,,152.49
05/11/2018 00.45,,152.25,,152.25
05/11/2018 01.00,,153.09,,153.09
05/11/2018 01.15,,149.14,,149.14
05/11/2018 01.30,,151.14,,151.14
05/11/2018 01.45,,148.83,,148.83
05/11/2018 02.00,,147.02,,147.02
05/11/2018 02.15,,139.99,,139.99
05/11/2018 02.30,,136.38,,136.38
05/11/2018 02.45,,133.22,,133.22
05/11/2018 03.00,,129.46,,129.46
05/11/2018 03.15,,130.02,,130.02
05/11/2018 03.30,,126.9,,126.9
05/11/2018 03.45,,125.28,,125.28
05/11/2018 04.00,,119.64,,119.64
05/11/2018 04.15,,115.93,,115.93
05/11/2018 04.30,,115.52,,115.52
05/11/2018 04.45,,112.75,,112.75
05/11/2018 05.00,,109.59,,109.59
05/11/2018 05.15,,112.19,,112.19
05/11/2018 05.30,,114.48,,114.48
05/11/2018 05.45,,110.69,,110.69
05/11/2018 06.00,,108.54,,108.54
05/11/2018 06.15,,103.43,,103.43
05/11/2018 06.30,,101.57,,101.57
05/11/2018 06.45,,101.09,,101.09
05/11/2018 07.00,,103.94,,103.94
05/11/2018 07.15,,105.64,,105.64
05/11/2018 07.30,,105.53,,105.53
05/11/2018 07.45,,103.25,,103.25
05/11/2018 08.00,,110.62,,110.62
05/11/2018 08.15,,114.19,,114.19
05/11/2018 08.30,,111.11,,111.11
05/11/2018 08.45,,114.12,,114.12
05/11/2018 09.00,,107.12,,107.12
05/11/2018 09.15,96.2,,,96.2
05/11/2018 09.30,91.74,,,91.74
05/11/2018 09.45,82.95,,,82.95
05/11/2018 10.00,77.35,,,77.35
05/11/2018 10.15,72.14,,,72.14
05/11/2018 10.30,68.59,,,68.59
05/11/2018 10.45,69.77,,,69.77
05/11/2018 11.00,74.51,,,74.51
05/11/2018 11.15,74.04,,,74.04
05/11/2018 11.30,75.69,,,75.69
05/11/2018 11.45,71.21,,,71.21
05/11/2018 12.00,68.22,,,68.22
05/11/2018 12.15,79.64,,,79.64
05/11/2018 12.30,85.09,,,85.09
05/11/2018 12.45,87.11,,,87.11
05/11/2018 13.00,79.8,,,79.8
05/11/2018 13.15,78.95,,,78.95
05/11/2018 13.30,85.75,,,85.75
05/11/2018 13.45,88.99,,,88.99
05/11/2018 14.00,82.45,,,82.45
05/11/2018 14.15,80.88,,,80.88
05/11/2018 14.30,78.61,,,78.61
05/11/2018 14.45,80.41,,,80.41
05/11/2018 15.00,77,,,77
05/11/2018 15.15,79.98,,,79.98
05/11/2018 15.30,81.03,,,81.03
05/11/2018 15.45,79.93,,,79.93
05/11/2018 16.00,72.17,,,72.17
05/11/2018 16.15,71.75,,,71.75
05/11/2018 16.30,72.11,,,72.11
05/11/2018 16.45,75.22,,,75.22
05/11/2018 17.00,78.46,,,78.46
05/11/2018 17.15,82.29,,,82.29
05/11/2018 17.30,84.69,,,84.69
05/11/2018 17.45,88.91,,,88.91
05/11/2018 18.00,92.12,,,92.12
05/11/2018 18.15,91.49,,,91.49
05/11/2018 18.30,96.22,,,96.22
05/11/2018 18.45,99.09,,,99.09
05/11/2018 19.00,100.59,,,100.59
05/11/2018 19.15,97.48,,,97.48
05/11/2018 19.30,97.3,,,97.3
05/11/2018 19.45,98.62,,,98.62
05/11/2018 20.00,101.74,,,101.74
05/11/2018 20.15,100.86,,,100.86
05/11/2018 20.30,104.19,,,104.19
05/11/2018 20.45,110.25,,,110.25
05/11/2018 21.00,115.77,,,115.77
05/11/2018 21.15,119.43,,,119.43
05/11/2018 21.30,125.62,,,125.62
05/11/2018 21.45,130.93,,,130.93
05/11/2018 22.00,137.27,,,137.27
05/11/2018 22.15,,146.14,,146.14
05/11/2018 22.30,,149.76,,149.76
05/11/2018 22.45,,150.36,,150.36
05/11/2018 23.00,,152.33,,152.33
05/11/2018 23.15,,159.7,,159.7
05/11/2018 23.30,,165.62,,165.62
05/11/2018 23.45,,169.26,,169.26
05/11/2018 24.00,,171.07,,171.07
06/11/2018 00.15,,176.47,,176.47
06/11/2018 00.30,,177.62,,177.62
06/11/2018 00.45,,181.38,,181.38
06/11/2018 01.00,,181.63,,181.63
06/11/2018 01.15,,178.52,,178.52
06/11/2018 01.30,,170.65,,170.65
06/11/2018 01.45,,169.81,,169.81
06/11/2018 02.00,,165.38,,165.38
06/11/2018 02.15,,164.28,,164.28
06/11/2018 02.30,,162.86,,162.86
06/11/2018 02.45,,156.43,,156.43
06/11/2018 03.00,,152.91,,152.91
06/11/2018 03.15,,148.22,,148.22
06/11/2018 03.30,,143.31,,143.31
06/11/2018 03.45,,142.33,,142.33
06/11/2018 04.00,,139.56,,139.56
06/11/2018 04.15,,134.07,,134.07
06/11/2018 04.30,,132.19,,132.19
06/11/2018 04.45,,128.86,,128.86
06/11/2018 05.00,,125.91,,125.91
06/11/2018 05.15,,125.85,,125.85
06/11/2018 05.30,,124.96,,124.96
06/11/2018 05.45,,123.98,,123.98
06/11/2018 06.00,,119.27,,119.27
06/11/2018 06.15,,116.41,,116.41
06/11/2018 06.30,,112.57,,112.57
06/11/2018 06.45,,110.49,,110.49
06/11/2018 07.00,,113.69,,113.69
06/11/2018 07.15,,109.86,,109.86
06/11/2018 07.30,,118.43,,118.43
06/11/2018 07.45,,119.17,,119.17
06/11/2018 08.00,,119.83,,119.83
06/11/2018 08.15,,115.9,,115.9
06/11/2018 08.30,,112.51,,112.51
06/11/2018 08.45,,108.85,,108.85
06/11/2018 09.00,,107.38,,107.38
06/11/2018 09.15,92.74,,,92.74
06/11/2018 09.30,85.19,,,85.19
06/11/2018 09.45,76.87,,,76.87
06/11/2018 10.00,72.17,,,72.17
06/11/2018 10.15,74.64,,,74.64
06/11/2018 10.30,72.38,,,72.38
06/11/2018 10.45,71.51,,,71.51
06/11/2018 11.00,69.09,,,69.09
06/11/2018 11.15,69.87,,,69.87
06/11/2018 11.30,67,,,67
06/11/2018 11.45,61.35,,,61.35
06/11/2018 12.00,57.66,,,57.66
06/11/2018 12.15,68.06,,,68.06
06/11/2018 12.30,68.46,,,68.46
06/11/2018 12.45,71.03,,,71.03
06/11/2018 13.00,68.9,,,68.9
06/11/2018 13.15,70.38,,,70.38
06/11/2018 13.30,68.74,,,68.74
06/11/2018 13.45,74.16,,,74.16
06/11/2018 14.00,75.93,,,75.93
06/11/2018 14.15,78.96,,,78.96
06/11/2018 14.30,78.03,,,78.03
06/11/2018 14.45,78.9,,,78.9
06/11/2018 15.00,81.12,,,81.12
06/11/2018 15.15,77.41,,,77.41
06/11/2018 15.30,76.62,,,76.62
06/11/2018 15.45,77.22,,,77.22
06/11/2018 16.00,75.29,,,75.29
06/11/2018 16.15,74.2,,,74.2
06/11/2018 16.30,76.09,,,76.09
06/11/2018 16.45,76.24,,,76.24
06/11/2018 17.00,75.59,,,75.59
06/11/2018 17.15,80.91,,,80.91
06/11/2018 17.30,78.54,,,78.54
06/11/2018 17.45,78.56,,,78.56
06/11/2018 18.00,79.3,,,79.3
06/11/2018 18.15,81.8,,,81.8
06/11/2018 18.30,84.37,,,84.37
06/11/2018 18.45,87.35,,,87.35
06/11/2018 19.00,85.06,,,85.06
06/11/2018 19.15,86.17,,,86.17
06/11/2018 19.30,84.33,,,84.33
06/11/2018 19.45,88.75,,,88.75
06/11/2018 20.00,90.93,,,90.93
06/11/2018 20.15,90.2,,,90.2
06/11/2018 20.30,91.88,,,91.88
06/11/2018 20.45,94.95,,,94.95
06/11/2018 21.00,96.32,,,96.32
06/11/2018 21.15,102.69,,,102.69
06/11/2018 21.30,108.15,,,108.15
06/11/2018 21.45,117.7,,,117.7
06/11/2018 22.00,123.99,,,123.99
06/11/2018 22.15,,131.6,,131.6
06/11/2018 22.30,,134.44,,134.44
06/11/2018 22.45,,138.46,,138.46
06/11/2018 23.00,,142.12,,142.12
06/11/2018 23.15,,148.3,,148.3
06/11/2018 23.30,,157.1,,157.1
06/11/2018 23.45,,161.01,,161.01
06/11/2018 24.00,,168.75,,168.75
07/11/2018 00.15,,173.57,,173.57
07/11/2018 00.30,,170.67,,170.67
07/11/2018 00.45,,169.94,,169.94
07/11/2018 01.00,,175.5,,175.5
07/11/2018 01.15,,175.55,,175.55
07/11/2018 01.30,,171.65,,171.65
07/11/2018 01.45,,166.55,,166.55
07/11/2018 02.00,,164.2,,164.2
07/11/2018 02.15,,163.46,,163.46
07/11/2018 02.30,,161.67,,161.67
07/11/2018 02.45,,156.1,,156.1
07/11/2018 03.00,,151.07,,151.07
07/11/2018 03.15,,146.52,,146.52
07/11/2018 03.30,,146.23,,146.23
07/11/2018 03.45,,145.18,,145.18
07/11/2018 04.00,,142.43,,142.43
07/11/2018 04.15,,140.46,,140.46
07/11/2018 04.30,,136.3,,136.3
07/11/2018 04.45,,135.6,,135.6
07/11/2018 05.00,,137.86,,137.86
07/11/2018 05.15,,136.62,,136.62
07/11/2018 05.30,,130.94,,130.94
07/11/2018 05.45,,128.69,,128.69
07/11/2018 06.00,,128.01,,128.01
07/11/2018 06.15,,121.98,,121.98
07/11/2018 06.30,,119.3,,119.3
07/11/2018 06.45,,117.41,,117.41
07/11/2018 07.00,,118.96,,118.96
07/11/2018 07.15,,120.07,,120.07
07/11/2018 07.30,,118.65,,118.65
07/11/2018 07.45,,118.44,,118.44
07/11/2018 08.00,,123.41,,123.41
07/11/2018 08.15,,125.62,,125.62
07/11/2018 08.30,,117.98,,117.98
07/11/2018 08.45,,112.77,,112.77
07/11/2018 09.00,,110.86,,110.86
07/11/2018 09.15,105.25,,,105.25
07/11/2018 09.30,102.48,,,102.48
07/11/2018 09.45,99.53,,,99.53
07/11/2018 10.00,94.66,,,94.66
07/11/2018 10.15,95.33,,,95.33
07/11/2018 10.30,94.11,,,94.11
07/11/2018 10.45,90.82,,,90.82
07/11/2018 11.00,89.32,,,89.32
07/11/2018 11.15,86.91,,,86.91
07/11/2018 11.30,85.09,,,85.09
07/11/2018 11.45,80.58,,,80.58
07/11/2018 12.00,81.01,,,81.01
07/11/2018 12.15,76.88,,,76.88
07/11/2018 12.30,81.4,,,81.4
07/11/2018 12.45,81.53,,,81.53
07/11/2018 13.00,83.24,,,83.24
07/11/2018 13.15,82.72,,,82.72
07/11/2018 13.30,82.54,,,82.54
07/11/2018 13.45,87.01,,,87.01
07/11/2018 14.00,82.58,,,82.58
07/11/2018 14.15,79.96,,,79.96
07/11/2018 14.30,82.14,,,82.14
07/11/2018 14.45,80.64,,,80.64
07/11/2018 15.00,80.11,,,80.11
07/11/2018 15.15,77.93,,,77.93
07/11/2018 15.30,79.45,,,79.45
07/11/2018 15.45,83.59,,,83.59
07/11/2018 16.00,88.04,,,88.04
07/11/2018 16.15,89.12,,,89.12
07/11/2018 16.30,84.75,,,84.75
07/11/2018 16.45,84.38,,,84.38
07/11/2018 17.00,88.4,,,88.4
07/11/2018 17.15,88.3,,,88.3
07/11/2018 17.30,87.16,,,87.16
07/11/2018 17.45,90.03,,,90.03
07/11/2018 18.00,89.43,,,89.43
07/11/2018 18.15,93.2,,,93.2
07/11/2018 18.30,93.51,,,93.51
07/11/2018 18.45,93.22,,,93.22
07/11/2018 19.00,92.59,,,92.59
07/11/2018 19.15,92.48,,,92.48
07/11/2018 19.30,94.11,,,94.11
07/11/2018 19.45,94.98,,,94.98
07/11/2018 20.00,93.62,,,93.62
07/11/2018 20.15,96.4,,,96.4
07/11/2018 20.30,100.11,,,100.11
07/11/2018 20.45,104.96,,,104.96
07/11/2018 21.00,103.74,,,103.74
07/11/2018 21.15,109.65,,,109.65
07/11/2018 21.30,111.15,,,111.15
