,RATE A,RATE B,RATE C,Total
06/06/2018 02.15,,1.67,,1.67
06/06/2018 02.30,,1.67,,1.67
06/06/2018 02.45,,1.69,,1.69
06/06/2018 03.00,,1.74,,1.74
06/06/2018 03.15,,1.74,,1.74
06/06/2018 03.30,,1.63,,1.63
06/06/2018 03.45,,1.6,,1.6
06/06/2018 04.00,,1.6,,1.6
06/06/2018 04.15,,1.6,,1.6
06/06/2018 04.30,,1.63,,1.63
06/06/2018 04.45,,1.69,,1.69
06/06/2018 05.00,,1.67,,1.67
06/06/2018 05.15,,1.59,,1.59
06/06/2018 05.30,,1.59,,1.59
06/06/2018 05.45,,1.57,,1.57
06/06/2018 06.00,,1.48,,1.48
06/06/2018 06.15,,1.51,,1.51
06/06/2018 06.30,,1.45,,1.45
06/06/2018 06.45,,1.44,,1.44
06/06/2018 07.00,,1.41,,1.41
06/06/2018 07.15,,1.41,,1.41
06/06/2018 07.30,,1.47,,1.47
06/06/2018 07.45,,1.53,,1.53
06/06/2018 08.00,,1.67,,1.67
06/06/2018 08.15,,1.96,,1.96
06/06/2018 08.30,,1.92,,1.92
06/06/2018 08.45,,1.92,,1.92
06/06/2018 09.00,,2,,2
06/06/2018 09.15,2.05,,,2.05
06/06/2018 09.30,2.22,,,2.22
06/06/2018 09.45,2.08,,,2.08
06/06/2018 10.00,2,,,2
06/06/2018 10.15,2.41,,,2.41
06/06/2018 10.30,2.46,,,2.46
06/06/2018 10.45,2.25,,,2.25
06/06/2018 11.00,2.33,,,2.33
06/06/2018 11.15,2.24,,,2.24
06/06/2018 11.30,2.3,,,2.3
06/06/2018 11.45,2.22,,,2.22
06/06/2018 12.00,2.06,,,2.06
06/06/2018 12.15,2.14,,,2.14
06/06/2018 12.30,2.46,,,2.46
06/06/2018 12.45,2.36,,,2.36
06/06/2018 13.00,2.29,,,2.29
06/06/2018 13.15,2.26,,,2.26
06/06/2018 13.30,2.3,,,2.3
06/06/2018 13.45,2.35,,,2.35
06/06/2018 14.00,2.51,,,2.51
06/06/2018 14.15,2.51,,,2.51
06/06/2018 14.30,2.69,,,2.69
06/06/2018 14.45,2.73,,,2.73
06/06/2018 15.00,2.74,,,2.74
06/06/2018 15.15,2.7,,,2.7
06/06/2018 15.30,3,,,3
06/06/2018 15.45,3.3,,,3.3
06/06/2018 16.00,3.23,,,3.23
06/06/2018 16.15,3.35,,,3.35
06/06/2018 16.30,3.26,,,3.26
06/06/2018 16.45,3.33,,,3.33
06/06/2018 17.00,3.28,,,3.28
06/06/2018 17.15,3.13,,,3.13
06/06/2018 17.30,3,,,3
06/06/2018 17.45,3.04,,,3.04
06/06/2018 18.00,3.01,,,3.01
06/06/2018 18.15,2.9,,,2.9
06/06/2018 18.30,3.08,,,3.08
06/06/2018 18.45,3.23,,,3.23
06/06/2018 19.00,3.25,,,3.25
06/06/2018 19.15,3.22,,,3.22
06/06/2018 19.30,2.91,,,2.91
06/06/2018 19.45,2.8,,,2.8
06/06/2018 20.00,2.83,,,2.83
06/06/2018 20.15,2.84,,,2.84
06/06/2018 20.30,2.8,,,2.8
06/06/2018 20.45,2.82,,,2.82
06/06/2018 21.00,2.72,,,2.72
06/06/2018 21.15,1.87,,,1.87
06/06/2018 21.30,1.86,,,1.86
06/06/2018 21.45,1.97,,,1.97
06/06/2018 22.00,1.92,,,1.92
06/06/2018 22.15,,1.95,,1.95
06/06/2018 22.30,,1.92,,1.92
06/06/2018 22.45,,1.94,,1.94
06/06/2018 23.00,,1.98,,1.98
06/06/2018 23.15,,2,,2
06/06/2018 23.30,,1.93,,1.93
06/06/2018 23.45,,1.91,,1.91
06/06/2018 24.00,,1.9,,1.9
07/06/2018 00.15,,1.72,,1.72
07/06/2018 00.30,,1.67,,1.67
07/06/2018 00.45,,1.68,,1.68
07/06/2018 01.00,,1.63,,1.63
